Sixth Man of the Year
YEAR,PLAYER,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
2023,Malcolm Brogdon,PG,Boston Celtics,.484,14.9,4.2,3.7,0.3
2022,Tyler Herro,PG,Miami Heat,.447,20.7,5.0,4.0,0.1
2021,Jordan Clarkson,PG,Utah Jazz,.425,18.4,4.0,2.5,0.1
2020,Montrezl Harrell,F,LA Clippers,.580,18.6,7.1,1.7,1.1
2019,Lou Williams,G,LA Clippers,.425,20.0,3.0,5.4,0.1
2018,Lou Williams,G,LA Clippers,.435,22.6,2.5,5.3,0.2
2017,Eric Gordon,G,Houston Rockets,.406,16.2,2.7,2.5,0.5
2016,Jamal Crawford,G,LA Clippers,.404,14.2,1.8,2.3,0.2
2015,Lou Williams,G,Toronto Raptors,.404,15.5,1.9,2.1,0.1
2014,Jamal Crawford,G,LA Clippers,.416,18.6,2.3,3.2,0.2
2013,JR Smith,G,New York Knicks,.422,18.1,5.3,2.7,0.3
2012,James Harden,SG,Oklahoma City Thunder,.491,16.8,4.1,3.7,0.2
2011,Lamar Odom,PF,Los Angeles Lakers,.530,14.4,8.7,3.0,0.7
2010,Jamal Crawford,G,Atlanta Hawks,.449,18.0,2.5,3.0,0.2
2009,Jason Terry,G,Dallas Mavericks,.463,19.6,2.4,3.4,0.3
2008,Manu Ginobili,G,San Antonio Spurs,.460,19.5,4.8,4.5,0.4
2007,Leandro Barbosa,G,Phoenix Suns,.476,18.1,2.7,4.0,0.2
2006,Mike Miller,SG,Memphis Grizzlies,.466,13.7,5.4,2.7,0.4
2005,Ben Gordon,SG,Chicago Bulls,.411,15.1,2.6,2.0,0.1
2004,Antawn Jamison,PF,Dallas Mavericks,.535,14.8,6.3,0.9,0.4
2003,Bobby Jackson,PG,Sacramento Kings,.464,15.2,3.7,3.1,0.1
2002,Corliss Williamson,PF,Detroit Pistons,.510,13.6,4.1,1.2,0.3
2001,Aaron McKie,SG,Philadelphia 76ers,.473,11.6,4.1,5.0,0.1
2000,Rodney Rogers,SF,Phoenix Suns,.486,13.8,5.5,2.1,0.6
1999,Darrel Armstrong,PG,Orlando Magic,.441,13.8,3.6,6.7,0.1
1998,Danny Manning,F,Phoenix Suns,.516,13.5,5.6,2.0,0.7
1997,John Starks,G,New York Knicks,.431,13.8,2.7,2.8,0.1
1996,Toni Kukoc,SF,Chicago Bulls,.490,13.1,4.0,3.5,0.3
1995,Anthony Mason,F,New York Knicks,.566,9.9,8.4,3.1,0.3
1994,Dell Curry,G,Charlotte Hornets,.455,16.3,3.2,2.7,0.3
1993,Clifford Robinson,PF,Portland Trail Blazers,.473,19.1,6.6,2.2,2.0
1992,Detlef Schrempf,F,Indiana Pacers,.536,17.3,9.6,3.9,0.5
1991,Detlef Schrempf,F,Indiana Pacers,.520,16.1,8.0,3.7,0.3
1990,Ricky Pierce,G,Milwaukee Bucks,.510,23.0,2.8,2.3,0.1
1989,Eddie Johnson,G,Phoenix Suns,.497,21.5,4.4,2.3,0.1
1988,Roy Tarpley,C,Dallas Mavericks,.500,13.5,11.8,1.1,1.1
1987,Ricky Pierce,G,Milwaukee Bucks,.534,19.5,3.4,1.8,0.3
1986,Bill Walton,,Boston Celtics,No stats available.
1985,Kevin McHale,,Boston Celtics,No stats available.
1984,Kevin McHale,,Boston Celtics,No stats available.
1983,Bobby Jones,SF,Philadelphia 76ers,No stats available.
